Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1,10000,10122,9785,10061,974
2,10061,10282,9914,10049,943
3,10049,10189,9929,10177,303
4,10143,10373,9997,9997,507
5,10180,10349,9897,10154,756
6,9969,10352,9969,10237,762
7,10051,10304,9999,10304,273
8,10208,10511,10115,10439,799
9,10439,10583,10245,10522,365
10,10720,10720,10272,10376,220
11,10376,10694,10297,10325,821
12,10340,10694,10203,10397,927
13,10488,10649,10327,10327,815
14,10518,10531,10180,10479,993
15,10445,10661,10138,10535,757
16,10655,10693,10379,10379,289
17,10406,10572,10214,10331,365
18,10420,10569,10149,10225,168
19,10149,10418,10035,10045,584
20,10366,10590,10193,10223,993
21,10223,10590,10173,10496,733
22,10575,10589,10379,10485,95
23,10407,10695,10293,10480,644
24,10359,10690,10277,10278,917
25,10373,10480,10078,10224,597
26,10354,10429,10043,10377,737
27,10192,10570,10150,10368,673
28,10368,10552,10183,10240,894
29,10240,10406,10125,10125,141
30,10053,10509,9927,10228,623
31,10243,10434,10011,10434,348
32,10081,10178,10081,10128,81
33,10128,10260,9956,10063,227
34,10063,10239,9880,10223,580
35,10254,10405,10019,10019,394
36,10019,10439,9881,9912,577
37,9944,10107,9723,10065,613
38,10092,10262,9870,10099,1100
39,10201,10267,9996,10103,197
40,10279,10285,9873,9992,602
41,9992,10248,9809,10248,617
42,10300,10440,10066,10418,964
43,10418,10623,10216,10612,349
44,10273,10769,10273,10769,257
45,10523,10977,10523,10583,655
46,10485,10791,10396,10630,286
47,10419,10630,10315,10578,711
48,10578,10630,10370,10473,161
49,10370,10705,10217,10528,809
50,10528,10704,10325,10325,304
51,10325,10632,10303,10518,167
52,10518,10767,10367,10367,286
53,10367,10767,10185,10471,179
54,10434,10661,10199,10311,582
55,10356,10493,10121,10234,178
56,10177,10493,10041,10068,957
57,10206,10390,10109,10109,166
58,10109,10312,9914,9914,494
59,10001,10156,9775,9949,1119
60,9949,10132,9776,9776,1160
61,9776,10116,9611,9970,715
62,9990,10161,9620,10080,562
63,9996,10281,9832,10122,359
64,10122,10319,9832,10319,568
65,10100,10519,10100,10280,331
66,10519,10610,10136,10250,807
67,10121,10386,10054,10106,958
68,10386,10433,10175,10433,162
69,10429,10539,10199,10490,825
70,10490,10684,10199,10293,831
71,10511,10621,10215,10250,1018
72,10317,10396,10059,10302,607
73,10269,10549,10051,10398,1044
74,10398,10433,10056,10175,472
75,10430,10430,9987,9993,613
76,9999,10188,9810,10093,1064
77,10093,10258,9837,10258,563
78,10165,10269,9990,10064,242
79,10064,10379,9884,9947,1007
80,10060,10205,9821,10038,567
81,9884,10118,9752,9903,920
82,9772,10089,9758,9836,477
83,9859,10002,9659,9918,588
84,9991,10115,9767,9923,978
85,9974,10155,9731,10006,1158
86,10006,10205,9823,10203,528
87,10255,10385,9811,10050,750
88,10255,10397,10146,10146,423
89,10255,10344,9956,10187,608
90,10270,10345,9998,10010,825
91,10046,10321,9886,10107,1096
92,9885,10193,9801,10013,797
93,10182,10299,9839,10148,445
94,10088,10319,9931,10265,336
95,10112,10335,9939,10111,642
96,10111,10313,9933,10169,898
97,10024,10304,9996,10037,888
98,10037,10307,9932,9932,114
99,9826,10326,9739,9961,1138
100,9955,10129,9756,9807,798
