Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1,10000,10074,9866,9866,556
2,9800,10029,9701,9723,197
3,9763,9763,9536,9536,42
4,9365,9619,9365,9619,87
5,9488,9811,9440,9811,467
6,9811,9992,9623,9642,361
7,9755,9793,9458,9469,357
8,9302,9679,9302,9604,109
10,9637,9637,9637,9637,48
11,9541,9681,9472,9544,105
12,9717,9727,9524,9624,125
13,9624,9757,9444,9630,260
14,9667,9767,9504,9735,101
15,9735,9921,9556,9888,98
16,9775,10064,9723,9858,383
17,10031,10034,9675,9817,449
18,10018,10101,9796,9903,352
19,9896,10101,9715,9715,504
20,9622,10103,9588,9692,478
21,9662,9843,9557,9684,237
22,9884,9884,9514,9609,156
23,9803,9803,9460,9629,282
24,9506,9812,9445,9812,473
25,9812,10004,9659,9805,409
26,9882,9925,9625,9716,509
27,9660,9905,9550,9556,453
28,9897,9897,9376,9380,449
29,9254,9512,9207,9512,332
30,9536,9681,9328,9642,243
31,9574,9574,9488,9488,30
32,9482,9670,9323,9323,235
33,9575,9575,9193,9491,326
34,9491,9619,9401,9401,146
35,9401,9555,9218,9218,463
36,9202,9311,9202,9311,31
37,9311,9499,9137,9279,430
38,9301,9301,9278,9278,61
39,9152,9152,9152,9152,34
40,9152,9319,9013,9238,182
41,9414,9420,9075,9144,735
42,9165,9298,8975,8975,578
43,9068,9137,8810,8969,308
44,8855,9109,8855,8895,335
45,9064,9064,8777,8777,228
46,8818,8908,8745,8745,55
47,8908,8920,8576,8753,352
48,8739,8882,8647,8816,386
49,8738,8780,8632,8780,78
50,8805,8923,8617,8839,467
51,8839,8929,8702,8702,71
52,8765,8875,8536,8652,430
53,8574,8824,8497,8500,420
54,8666,8666,8349,8614,158
55,8652,8697,8450,8598,263
56,8766,8766,8451,8451,311
57,8648,8648,8375,8546,119
58,8587,8587,8537,8537,19
59,8524,8654,8383,8654,301
60,8466,8765,8466,8732,197
61,8732,8868,8569,8569,616
62,8508,8734,8439,8481,259
63,8445,8523,8445,8523,94
64,8492,8624,8382,8471,444
65,8471,8609,8394,8394,276
67,8296,8560,8252,8349,490
68,8517,8517,8243,8316,499
69,8463,8463,8389,8389,100
70,8287,8509,8287,8509,117
71,8463,8616,8353,8385,334
72,8354,8549,8226,8262,510
73,8337,8427,8102,8382,372
74,8287,8545,8287,8545,227
75,8545,8714,8301,8536,300
76,8378,8536,8378,8452,193
77,8452,8524,8343,8398,176
78,8398,8575,8398,8575,65
79,8561,8742,8478,8536,189
80,8412,8654,8382,8438,365
81,8378,8604,8378,8604,85
82,8467,8707,8467,8492,282
83,8492,8657,8347,8365,286
84,8516,8516,8223,8401,119
85,8456,8519,8258,8407,391
86,8303,8571,8280,8571,239
87,8250,8678,8250,8678,226
88,8707,8816,8535,8806,226
89,8831,8938,8640,8746,555
90,8979,8979,8631,8719,182
91,8747,8856,8585,8698,507
92,8723,8786,8651,8722,114
93,8722,8920,8700,8920,170
94,8881,8953,8764,8779,157
95,8857,8944,8660,8944,151
96,9108,9108,8755,8820,414
97,8950,8994,8664,8790,226
98,8885,8885,8706,8706,37
99,8661,8834,8540,8781,356
100,8835,8952,8614,8735,468
